visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
911300828_93767553384_340747,6601799,Test,start,step_3,0,376.0,6.27,0.2,65,F,13,2,27695.26
911329893_98837799085_191223,9544519,Control,start,start,0,388.0,6.47,0.2,32,M,11,2,70197.91
911415814_36211650386_500435,2327007,Control,start,confirm,1,2602.0,43.37,0.0,46,F,8,2,73019.6
911485957_30743600557_60161,6821616,Test,start,confirm,1,725.0,12.08,0.0,62,F,8,2,120677.8
911597985_54495926668_292926,4689021,Control,start,confirm,1,172.0,2.87,0.0,42,F,18,3,153116.45
911622084_93432832735_44429,6512523,Control,start,confirm,1,327.0,5.45,0.0,48,M,13,2,895814.01
911624994_24125050707_18113,1670040,Test,start,step_3,0,115.0,1.92,0.0,46,F,9,2,41631.36
911669818_42577871893_990972,9910098,Control,start,start,0,36.0,0.6,0.25,72,F,9,2,71728.98
911709965_77810589744_624638,696491,Control,start,confirm,1,367.0,6.12,0.0,60,M,15,2,116571.29
911729574_78670361830_213238,5999097,Test,start,confirm,1,237.0,3.95,0.0,40,F,15,2,146388.7
911732904_28258015561_55843,7990566,Control,start,step_1,0,20.0,0.33,0.0,23,F,10,3,162343.93
91174191_93853498067_580590,254302,Test,start,confirm,1,121.0,2.02,0.0,58,M,13,2,24430.36
91174552_42046862492_881507,6313049,Control,start,confirm,1,113.0,1.88,0.0,56,F,25,2,107057.8
911763337_37682302368_129040,3590765,Test,start,confirm,1,71.0,1.18,0.0,48,F,10,2,68551.6
911767433_83808904251_570801,7351059,Control,start,start,0,34.0,0.57,0.0,47,M,19,2,81386.51999999999
91177086_81302904196_864797,8392344,Control,start,step_2,0,39.0,0.65,0.0,62,F,34,3,2354002.43
911771678_34366740939_871763,552481,Test,start,confirm,1,215.0,3.58,0.0,54,M,34,3,99091.18
911779758_89789285953_272560,9866595,Test,start,confirm,1,381.0,6.35,0.16666666666666666,48,F,15,2,70066.04000000001
911814055_70610092838_16865,2807022,Test,start,step_1,0,9.0,0.15,0.0,40,M,8,2,54886.22
